Attribute,Attribute Value,Label,Expected Score,fold_num
race,African-American,0,0.4427732945624943,0
race,African-American,1,0.4925355279257276,0
race,Hispanic,1,0.40193839366253153,0
race,Hispanic,0,0.40276749532647904,0
race,Caucasian,0,0.4062297820446144,0
race,Caucasian,1,0.43810536494782604,0
race,Other,1,0.40154308583427356,0
race,Other,0,0.4654283137041758,0
sex,male,0,0.4348510450809301,0
sex,male,1,0.4726576436665836,0
sex,female,0,0.39012918754298065,0
sex,female,1,0.44385089780627307,0
race,Other,0,0.44314412222074073,1
race,Other,1,0.5849673202614379,1
race,Caucasian,1,0.4750628296601293,1
race,Caucasian,0,0.4077064378719058,1
race,African-American,1,0.516692798997882,1
race,African-American,0,0.47046120004730896,1
race,Hispanic,1,0.43248080356478774,1
race,Hispanic,0,0.43765586098386833,1
sex,male,0,0.4438390619736865,1
sex,male,1,0.506758060150463,1
sex,female,1,0.4649091486842666,1
sex,female,0,0.444912305964063,1
race,African-American,1,0.5017790735209465,2
race,African-American,0,0.445703246583254,2
race,Other,1,0.4390466570558438,2
race,Other,0,0.43459112032094066,2
race,Caucasian,1,0.434550613864643,2
race,Caucasian,0,0.3793005874589673,2
race,Hispanic,0,0.3817352101998192,2
race,Hispanic,1,0.46914873925641604,2
sex,male,1,0.47697107315129805,2
sex,male,0,0.426844081056261,2
sex,female,1,0.47212419125919414,2
sex,female,0,0.3712201184763743,2
race,African-American,1,0.5320248300280247,3
race,African-American,0,0.44920961596105197,3
race,Caucasian,1,0.430314370108095,3
race,Caucasian,0,0.38994979428178606,3
race,Hispanic,0,0.3855993630858813,3
race,Hispanic,1,0.5590148311312926,3
race,Other,0,0.42335146055346007,3
race,Other,1,0.4515370920831356,3
sex,male,1,0.5031220124335658,3
sex,male,0,0.4301383162067702,3
sex,female,0,0.374188541852403,3
sex,female,1,0.46206595127533656,3
race,Caucasian,1,0.4607492042377139,4
race,Caucasian,0,0.36558054773244253,4
race,African-American,1,0.5144537173488484,4
race,African-American,0,0.45080409759356205,4
race,Hispanic,1,0.3988044740106004,4
race,Hispanic,0,0.387909247196248,4
race,Other,1,0.5084099393061443,4
race,Other,0,0.3696245938812297,4
sex,male,1,0.5044560106169783,4
sex,male,0,0.4195713587223826,4
sex,female,1,0.42641613296437897,4
sex,female,0,0.3948070750112851,4
