Attribute,Attribute Value,Label,Expected Score,fold_num
race,African-American,0,0.41046968389593924,0
race,African-American,1,0.4771047124123175,0
race,Hispanic,1,0.31515313709599607,0
race,Hispanic,0,0.3669082786466486,0
race,Caucasian,0,0.34151040116848647,0
race,Caucasian,1,0.40108659309390243,0
race,Other,1,0.33835890090602455,0
race,Other,0,0.43979184034015056,0
sex,male,0,0.3957651661408486,0
sex,male,1,0.4503188563308578,0
sex,female,0,0.3228330916238987,0
sex,female,1,0.38321732534285063,0
race,Other,0,0.37163412298333065,1
race,Other,1,0.5,1
race,Caucasian,1,0.466991631624285,1
race,Caucasian,0,0.40757656854799806,1
race,African-American,1,0.5135916810958827,1
race,African-American,0,0.4446223241299988,1
race,Hispanic,1,0.43068242641099863,1
race,Hispanic,0,0.41844991342470417,1
sex,male,0,0.41747907906071247,1
sex,male,1,0.49838420574384606,1
sex,female,1,0.4711176776712494,1
sex,female,0,0.4743268245966661,1
race,African-American,1,0.5020630230234822,2
race,African-American,0,0.44118508907599874,2
race,Other,1,0.4306824264109985,2
race,Other,0,0.4229804737899984,2
race,Caucasian,1,0.4391951108868409,2
race,Caucasian,0,0.37510347101080815,2
race,Hispanic,0,0.37163412298333065,2
race,Hispanic,1,0.453788284273999,2
sex,male,1,0.4767574210845557,2
sex,male,0,0.42252741775346897,2
sex,female,1,0.4768941421369995,2
sex,female,0,0.3628089689384346,2
race,African-American,1,0.5318701487765525,3
race,African-American,0,0.43153819892444295,3
race,Caucasian,1,0.4084484877126396,3
race,Caucasian,0,0.3861950284359678,3
race,Hispanic,0,0.37896931595571165,3
race,Hispanic,1,0.5577646446575012,3
race,Other,0,0.4422353553424988,3
race,Other,1,0.453788284273999,3
sex,male,1,0.49465760511838136,3
sex,male,0,0.41681891169319835,3
sex,female,0,0.38048694208792844,3
sex,female,1,0.48349581581214246,3
race,Caucasian,1,0.4724930263535708,4
race,Caucasian,0,0.3581219254026286,4
race,African-American,1,0.5121609778226318,4
race,African-American,0,0.4388935990399987,4
race,Hispanic,1,0.4768941421369995,4
race,Hispanic,0,0.42298047378999837,4
race,Other,1,0.4743268245966661,4
race,Other,0,0.3905511995963134,4
sex,male,1,0.4954694396347058,4
sex,male,0,0.41874863169054777,4
sex,female,1,0.5210053253300004,4
sex,female,0,0.3739680480199974,4
