Attribute,Attribute Value,Label,Expected Score,fold_num
race,African-American,0,0.7273313919033625,0
race,African-American,1,0.7708105969672607,0
race,Hispanic,1,0.7054119380830237,0
race,Hispanic,0,0.6929253091803641,0
race,Caucasian,0,0.6841061860875934,0
race,Caucasian,1,0.7145207115512376,0
race,Other,1,0.6924435222442642,0
race,Other,0,0.7294434230305884,0
sex,male,0,0.7157468007007469,0
sex,male,1,0.7536119919990136,0
sex,female,0,0.6743826186522328,0
sex,female,1,0.7051101782443596,0
race,Other,0,0.6495394026345298,1
race,Other,1,0.770328881650638,1
race,Caucasian,1,0.7072207687274835,1
race,Caucasian,0,0.6560200929589352,1
race,African-American,1,0.7443349157453301,1
race,African-American,0,0.6987241299294299,1
race,Hispanic,1,0.6812802247062538,1
race,Hispanic,0,0.6729050952261891,1
sex,male,0,0.6781604696681925,1
sex,male,1,0.7331654657814146,1
sex,female,1,0.715451171321962,1
sex,female,0,0.68536435584891,1
race,African-American,1,0.7495122010100422,2
race,African-American,0,0.7036616936977514,2
race,Other,1,0.6962068412912202,2
race,Other,0,0.6800648073170139,2
race,Caucasian,1,0.7099532747847127,2
race,Caucasian,0,0.6573181605346016,2
race,Hispanic,0,0.6112261766408328,2
race,Hispanic,1,0.718939399944915,2
sex,male,1,0.7313077540843708,2
sex,male,0,0.6896471523701608,2
sex,female,1,0.748657757397803,2
sex,female,0,0.6383104105939518,2
race,African-American,1,0.7836328492279911,3
race,African-American,0,0.7211536690663378,3
race,Caucasian,1,0.7038434601166874,3
race,Caucasian,0,0.6777746687070616,3
race,Hispanic,0,0.6706375874165234,3
race,Hispanic,1,0.8003915859516927,3
race,Other,0,0.715643407853209,3
race,Other,1,0.6966467325521914,3
sex,male,1,0.759809506386251,3
sex,male,0,0.7073132399787874,3
sex,female,0,0.6663523677524995,3
sex,female,1,0.7234049503532473,3
race,Caucasian,1,0.6984166680797088,4
race,Caucasian,0,0.6143666729054444,4
race,African-American,1,0.7354658902176743,4
race,African-American,0,0.6844696456959647,4
race,Hispanic,1,0.6787449078620906,4
race,Hispanic,0,0.6588052552329082,4
race,Other,1,0.7122051922986533,4
race,Other,0,0.6337233079981907,4
sex,male,1,0.7230086548964227,4
sex,male,0,0.6657166994031404,4
sex,female,1,0.7160719615599425,4
sex,female,0,0.6235916860487416,4
